アイテム名,コード,リテール分類コード,企業コード,企業名,営業月,対象年月日,対象年月日 (コピー),店舗コード,店舗名,店舗設定名,表示コード,Vポイント値引き額(税込み),Vポイント値引額(標準税率分/税込),Vポイント値引額(軽減税率分/税込),値引金額,売上数量,売上金額,売上金額(Vポイント値引き前),売上金額(標準税率分/税抜),売上金額(軽減税率分/税抜),客数,買取数
店舗設定９５４,1954,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５４,144,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５５,1955,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５５,145,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５６,1956,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５６,146,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５７,1957,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５７,147,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５８,1958,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５８,148,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５９,1959,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５９,149,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６０,1960,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６０,150,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６１,1961,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６１,151,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６２,1962,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６２,152,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６３,1963,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６３,153,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６４,1964,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６４,154,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６５,1965,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６５,155,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６６,1966,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６６,156,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６７,1967,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６７,157,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６８,1968,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６８,158,0,0,0,0,0,0,0,0,0,0,0
店舗設定９６９,1969,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９６９,159,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７０,1970,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７０,160,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７１,1971,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７１,161,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７２,1972,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７２,162,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７３,1973,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７３,163,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７４,1974,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７４,164,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７５,1975,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７５,165,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７６,1976,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７６,166,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７７,1977,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７７,167,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７８,1978,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７８,168,0,0,0,0,0,0,0,0,0,0,0
店舗設定９７９,1979,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９７９,169,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８０,1980,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８０,170,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８１,1981,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８１,171,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８２,1982,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８２,172,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８３,1983,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８３,173,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８４,1984,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８４,174,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８５,1985,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８５,175,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８６,1986,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８６,176,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８７,1987,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８７,177,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８８,1988,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８８,178,0,0,0,0,0,0,0,0,0,0,0
店舗設定９８９,1989,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９８９,179,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９０,1990,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９０,180,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９１,1991,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９１,181,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９２,1992,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９２,182,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９３,1993,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９３,183,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９４,1994,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９４,184,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９５,1995,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９５,185,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９６,1996,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９６,186,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９７,1997,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９７,187,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９８,1998,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９８,188,0,0,0,0,0,0,0,0,0,0,0
店舗設定９９９,1999,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９９９,189,0,0,0,0,0,0,0,0,0,0,0
ＤＰＥ0サービス,2055,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＰＥ0サービス,190,0,0,0,0,0,0,0,0,0,0,0
中古ＣＤ,3000,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,中古ＣＤ　　　　　　　　　　　　　　　　,191,0,0,0,0,0,0,0,0,0,0,0
中古ＣＤＳ,3002,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,中古ＣＤＳ　　　　　　　　　　　　　　　,192,0,0,0,0,0,0,0,0,0,0,0
中古ＶＨＳ,3020,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,中古ＶＨＳ　　　　　　　　　　　　　　　,193,5000,5500,0,66060,1424,452276,457276,452276,0,160,0
中古コミック,3075,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,中古コミック　　　　　　　　　　　　　　,194,0,0,0,0,0,0,0,0,0,0,0
リサイクルＣＤ,3100,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルＣＤ　　　　　　　　　　　　　,195,0,0,0,0,0,0,0,0,0,0,0
リサイクルＭＡＸＩ,3101,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルＭＡＸＩ　　　　　　　　　　　,196,0,0,0,0,0,0,0,0,0,0,0
リサイクルＣＤＳ,3102,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルＣＤＳ　　　　　　　　　　　　,197,0,0,0,0,0,0,0,0,0,0,0
リサイクルＤＶＤ,3121,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルＤＶＤ,198,0,0,0,0,6,6000,6000,6000,0,0,0
リサイクルブルーレイ,3122,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルブルーレイ　　　　　　　　　　,199,0,0,0,0,0,0,0,0,0,0,0
リサイクルゲームソフト,3140,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルゲームソフト　　　　　　　　　,200,0,0,0,0,4,26111,26111,26111,0,0,0
リサイクルゲームハード,3141,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルゲームハード　　　　　　　　　,201,0,0,0,0,1,27255,27255,27255,0,0,0
リサイクルゲームサプライ,3142,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルゲームサプライ　　　　　　　　,202,0,0,0,0,0,0,0,0,0,0,0
リサイクルその他,3120,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルその他　　　　　　　　　　　　,203,0,0,0,0,0,0,0,0,0,0,0
リサイクルトレーディングカード　　　　　,3148,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルトレカ,204,0,0,0,36,26,2013,2013,2013,0,4,0
リサイクル雑誌,3171,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクル雑誌,205,0,0,0,6414,19,2529,2529,2529,0,15,0
リサイクルコミック,3175,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルコミック,206,0,0,0,30433,286,38868,38868,38868,0,25,0
リサイクル書籍,3176,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクル書籍,207,0,0,0,5502,107,22913,22913,22913,0,54,0
リサイクル洋書,3177,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクル洋書,208,0,0,0,6580,6,3000,3000,3000,0,5,0
リサイクルＢＯＯＫ未分類,3180,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,リサイクルＢＯＯＫ未分類,209,0,0,0,0,0,0,0,0,0,0,0
リサイクルVR,3181,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,0,9999,0,0,0,0,0,0,0,0,0,0,0
リサイクルVRソフト,3182,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,0,9999,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルＣＤ,3100,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルＣＤ,210,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルＭＡＸＩ,3101,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルＭＡＸＩ,211,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルＣＤＳ,3102,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルＣＤＳ,212,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルＤＶＤ,3121,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルＤＶＤ,213,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルブルーレイ,3122,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルブルーレイ,214,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルゲームソフト,3140,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルゲームソフト,215,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルゲームハード,3141,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルゲームハード,216,0,0,0,0,3,89000,0,0,0,2,0
（買取）リサイクルゲームサプライ,3142,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルゲームサプライ,217,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルその他,3120,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルその他,218,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルトレカ,3148,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（買取）リサイクルトレカ,219,0,0,0,0,45,5661,0,0,0,2,0
（買取）リサイクル雑誌,3171,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,220,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルコミック,3175,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,221,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクル書籍,3176,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,222,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクル洋書,3177,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,223,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクルＢＯＯＫ未分類,3180,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,224,0,0,0,0,0,0,0,0,0,0,0
（買取）リサイクル_テスト1,3181,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,9999,0,0,0,0,12,570000,0,0,0,12,0
（買取）リサイクル_テスト2,3181,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,9999,0,0,0,0,0,0,0,0,0,0,0
□未設定,zzzz,4,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□未設定,225,0,0,0,0,0,0,0,0,0,0,0
■税抜売上額,1,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■税抜売上額,226,0,0,0,0,0,0,0,0,0,0,0
□内税対象額,2,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□内税対象額,227,0,0,0,0,0,0,0,0,0,0,0
□内税額,3,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□内税額,228,0,0,0,0,0,0,0,0,0,0,0
□外税対象額,4,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□外税対象額,229,0,0,0,0,0,0,0,0,0,0,0
□外税額,5,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□外税額,230,0,0,0,0,0,0,0,0,0,0,0
□内税対象額（１０％）,42,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□内税対象額（１０％）,231,0,0,0,0,0,3361329,0,0,0,0,0
□内税対象額（　８％）,43,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□内税対象額（　８％）,232,0,0,0,0,0,756,0,0,0,0,0
□内税額（１０％）,44,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□内税額（１０％）,233,0,0,0,0,0,305417,0,0,0,0,0
□内税額（　８％）,45,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□内税額（　８％）,234,0,0,0,0,0,56,0,0,0,0,0
□外税対象額（１０％）,46,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□外税対象額（１０％）,235,0,0,0,0,0,0,0,0,0,0,0
□外税対象額（　８％）,47,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□外税対象額（　８％）,236,0,0,0,0,0,0,0,0,0,0,0
□外税額（１０％）,48,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□外税額（１０％）,237,0,0,0,0,0,0,0,0,0,0,0
□外税額（　８％）,49,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□外税額（　８％）,238,0,0,0,0,0,0,0,0,0,0,0
□消費税合計,6,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□消費税合計,239,0,0,0,0,0,305473,0,0,0,0,0
■税込売上合計,7,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■税込売上合計,240,0,0,0,0,0,3464631,0,0,0,0,0
□金券過剰入金,8,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□金券過剰入金,241,0,0,0,0,0,0,0,0,0,0,0
□予約金,9,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□予約金,242,0,0,0,0,0,0,0,0,0,0,2
□予約引当金,10,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□予約引当金,243,0,0,0,0,0,0,0,0,0,0,0
□レジ入金,11,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□レジ入金,244,0,0,0,0,0,89610,0,0,0,0,10
□レジ出金,12,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□レジ出金,245,0,0,0,0,0,70860,0,0,0,0,5
□買取合計（出金）,35,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□買取合計（出金）,246,0,0,0,0,0,94661,0,0,0,4,48
■取引総合計,13,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■取引総合計,247,0,0,0,0,0,3388720,0,0,0,0,0
■釣銭準備金,14,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■釣銭準備金,248,0,0,0,0,0,1080000,0,0,0,0,0
■計算在高合計,15,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■計算在高合計,249,0,0,0,0,0,4468720,0,0,0,0,0
□計算現金合計,16,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□計算現金合計,250,0,0,0,0,0,2452683,0,0,0,0,17
□計算図書券合計,17,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□計算図書券合計,251,0,0,0,0,0,3200,0,0,0,0,8
□計算図書カード合計,18,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□計算図書カード合計,252,0,0,0,0,0,26322,0,0,0,0,0
□計算金券合計,19,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□計算金券合計,253,0,0,0,0,0,587547,0,0,0,0,20
□計算提携カード,20,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□計算提携カード,254,0,0,0,0,0,174193,0,0,0,0,18
□計算他クレジット,21,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□計算他クレジット,255,0,0,0,0,0,1254297,0,0,0,0,133
■登録在高合計,22,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■登録在高合計,256,0,0,0,0,0,4468720,0,0,0,0,0
□登録現金合計,23,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□登録現金合計,257,0,0,0,0,0,2452683,0,0,0,0,5864
□登録図書券合計,24,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□登録図書券合計,258,0,0,0,0,0,3200,0,0,0,0,8
□登録図書カード合計,25,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□登録図書カード合計,259,0,0,0,0,0,26322,0,0,0,0,0
□登録金券合計,26,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□登録金券合計,260,0,0,0,0,0,587547,0,0,0,0,20
□登録提携カード,27,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□登録提携カード,261,0,0,0,0,0,174193,0,0,0,0,18
□登録他クレジット,28,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,□登録他クレジット,262,0,0,0,0,0,1254297,0,0,0,0,133
■過不足金,29,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■過不足金,263,0,0,0,0,0,0,0,0,0,0,0
■本日現金入金額,30,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,■本日現金入金額,264,0,0,0,0,0,1372683,0,0,0,0,0
※取消伝票枚数,31,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※取消伝票枚数,265,0,0,0,0,0,1097,0,0,0,0,1
※（クレジット取消伝票）,32,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※（クレジット取消伝票）,266,0,0,0,0,0,0,0,0,0,0,0
※値引明細計,33,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※値引明細計,267,0,0,0,0,0,106038,0,0,0,0,1077
※客返品数,34,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※客返品数,268,0,0,0,0,0,0,0,0,0,0,0
（内　返却ＢＯＸ）,36,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,（内　返却ＢＯＸ）,269,0,0,0,0,0,0,0,0,0,0,0
※Ｔ定額　申込み（店舗）,38,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※Ｔ定額　申込み（店舗）,270,0,0,0,0,0,0,0,0,0,0,0
※Ｔ定額　申込み（ＷＥＢ）,39,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※Ｔ定額　申込み（ＷＥＢ）,271,0,0,0,0,0,0,0,0,0,0,0
※Ｔ定額　更新,40,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※Ｔ定額　更新,272,0,0,0,0,0,8500,0,0,0,0,7
※Ｔ定額　課金調整,41,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※Ｔ定額　課金調整,273,0,0,0,0,0,0,0,0,0,0,0
※T定額　キャンセル,42,5,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,,9999,0,0,0,6,0,5,0,0,0,0,0
※ＴＯＬ入金,0,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,※ＴＯＬ入金,274,0,0,0,0,18,97610,0,0,0,0,0
入金名称００１,1,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００１,275,0,0,0,0,0,0,0,0,0,0,0
入金名称００２,2,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００２,276,0,0,0,0,0,0,0,0,0,0,0
入金名称００３,3,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００３,277,0,0,0,0,0,0,0,0,0,0,0
入金名称００４,4,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００４,278,0,0,0,0,0,0,0,0,0,0,0
入金名称００５,5,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００５,279,0,0,0,0,0,0,0,0,0,0,0
入金名称００６,6,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００６,280,0,0,0,0,0,0,0,0,0,0,0
入金名称００７,7,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,その他入金,281,0,0,0,0,5,69610,0,0,0,0,0
入金名称００８,8,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００８,282,0,0,0,0,0,0,0,0,0,0,0
入金名称００９,9,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称００９,283,0,0,0,0,0,0,0,0,0,0,0
入金名称０１０,10,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１０,284,0,0,0,0,0,0,0,0,0,0,0
入金名称０１１,11,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１１,285,0,0,0,0,0,0,0,0,0,0,0
入金名称０１２,12,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１２,286,0,0,0,0,0,0,0,0,0,0,0
入金名称０１３,13,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１３,287,0,0,0,0,0,0,0,0,0,0,0
入金名称０１４,14,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１４,288,0,0,0,0,0,0,0,0,0,0,0
入金名称０１５,15,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１５,289,0,0,0,0,0,0,0,0,0,0,0
入金名称０１６,16,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１６,290,0,0,0,0,0,0,0,0,0,0,0
入金名称０１７,17,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１７,291,0,0,0,0,0,0,0,0,0,0,0
入金名称０１８,18,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１８,292,0,0,0,0,0,0,0,0,0,0,0
入金名称０１９,19,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０１９,293,0,0,0,0,0,0,0,0,0,0,0
入金名称０２０,20,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０２０,294,0,0,0,0,8,8000,0,0,0,0,0
入金名称０２１,21,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０２１,295,0,0,0,0,0,0,0,0,0,0,0
入金名称０２２,22,6,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入金名称０２２,296,0,0,0,0,0,0,0,0,0,0,0
